time,input,output
-5,0.488844,0.173668
-4.9,0.488844,0.173668
-4.8,0.488844,0.173668
-4.7,0.488844,0.173668
-4.6,0.488844,0.173668
-4.5,0.495276,0.180101
-4.4,0.488844,0.173668
-4.3,0.488844,0.173668
-4.2,0.488844,0.173668
-4.1,0.495276,0.173668
-4,0.495276,0.173668
-3.9,0.495276,0.173668
-3.8,0.495276,0.173668
-3.7,0.495276,0.173668
-3.6,0.488844,0.173668
-3.5,0.495276,0.173668
-3.4,0.488844,0.173668
-3.3,0.488844,0.173668
-3.2,0.488844,0.173668
-3.1,0.495276,0.173668
-3,0.495276,0.173668
-2.9,0.488844,0.173668
-2.8,0.488844,0.173668
-2.7,0.488844,0.173668
-2.6,0.488844,0.173668
-2.5,0.495276,0.173668
-2.4,0.488844,0.173668
-2.3,0.488844,0.173668
-2.2,0.488844,0.173668
-2.1,0.488844,0.180101
-2,0.495276,0.173668
-1.9,0.488844,0.173668
-1.8,0.488844,0.173668
-1.7,0.488844,0.173668
-1.6,0.488844,0.173668
-1.5,0.488844,0.173668
-1.4,0.488844,0.173668
-1.3,0.495276,0.173668
-1.2,0.495276,0.173668
-1.1,0.488844,0.173668
-1,0.495276,0.173668
-0.9,0.488844,0.173668
-0.8,0.488844,0.173668
-0.7,0.488844,0.173668
-0.6,0.488844,0.173668
-0.5,0.495276,0.180101
-0.4,0.488844,0.173668
-0.3,0.488844,0.173668
-0.2,0.488844,0.180101
-0.1,0.488844,0.180101
0,0.488844,0.180101
0.1,0.488844,0.173668
0.2,0.495276,0.173668
0.3,0.488844,0.173668
0.4,0.488844,0.173668
0.5,0.488844,0.173668
0.6,0.488844,0.173668
0.7,0.495276,0.173668
0.8,0.488844,0.173668
0.9,0.488844,0.173668
1,0.488844,0.173668
1.1,0.495276,0.173668
1.2,0.495276,0.173668
1.3,0.495276,0.173668
1.4,0.488844,0.173668
1.5,0.488844,0.173668
1.6,0.488844,0.173668
1.7,0.488844,0.173668
1.8,0.488844,0.173668
1.9,0.488844,0.173668
2,0.488844,0.173668
2.1,0.488844,0.180101
2.2,0.488844,0.180101
2.3,0.488844,0.180101
2.4,0.488844,0.180101
2.5,0.488844,0.180101
2.6,0.495276,0.180101
2.7,0.495276,0.180101
2.8,0.495276,0.180101
2.9,0.488844,0.180101
3,0.488844,0.180101
3.1,0.495276,0.186533
3.2,0.488844,0.180101
3.3,0.488844,0.180101
3.4,0.488844,0.180101
3.5,0.488844,0.180101
3.6,0.488844,0.180101
3.7,0.495276,0.180101
3.8,0.488844,0.180101
3.9,0.488844,0.180101
4,0.488844,0.180101
4.1,0.495276,0.180101
4.2,0.495276,0.180101
4.3,0.488844,0.180101
4.4,0.488844,0.180101
4.5,0.488844,0.180101
4.6,0.495276,0.180101
4.7,0.488844,0.186533
4.8,0.488844,0.186533
4.9,0.488844,0.180101
