time,input,output
-5,0.0964824,0.0747739
-4.9,0.0952764,0.0735678
-4.8,0.0952764,0.0735678
-4.7,0.0940703,0.0723618
-4.6,0.0952764,0.0735678
-4.5,0.0964824,0.0747739
-4.4,0.0952764,0.0735678
-4.3,0.0952764,0.0735678
-4.2,0.0940703,0.0723618
-4.1,0.0976884,0.0747739
-4,0.0952764,0.0747739
-3.9,0.0952764,0.0747739
-3.8,0.0952764,0.0735678
-3.7,0.0964824,0.0747739
-3.6,0.0964824,0.0747739
-3.5,0.0952764,0.0735678
-3.4,0.0940703,0.0735678
-3.3,0.0964824,0.0747739
-3.2,0.0976884,0.0759799
-3.1,0.0952764,0.0723618
-3,0.0940703,0.0735678
-2.9,0.0952764,0.0735678
-2.8,0.0952764,0.0747739
-2.7,0.0988945,0.0747739
-2.6,0.0940703,0.0723618
-2.5,0.0964824,0.0747739
-2.4,0.0964824,0.0747739
-2.3,0.0952764,0.0735678
-2.2,0.0952764,0.0735678
-2.1,0.0940703,0.0735678
-2,0.0976884,0.0759799
-1.9,0.0964824,0.0747739
-1.8,0.0952764,0.0735678
-1.7,0.0952764,0.0723618
-1.6,0.0940703,0.0723618
-1.5,0.0964824,0.0735678
-1.4,0.0940703,0.0723618
-1.3,0.0952764,0.0747739
-1.2,0.0952764,0.0747739
-1.1,0.0952764,0.0747739
-1,0.0940703,0.0723618
-0.9,0.0952764,0.0735678
-0.8,0.0964824,0.0747739
-0.7,0.0964824,0.0759799
-0.6,0.0964824,0.0735678
-0.5,0.0940703,0.0735678
-0.4,0.0964824,0.0759799
-0.3,0.0952764,0.0747739
-0.2,0.0964824,0.0747739
-0.1,0.0964824,0.0735678
0,0.0964824,0.0747739
0.1,0.0976884,0.0771859
0.2,0.0952764,0.0735678
0.3,0.0952764,0.0735678
0.4,0.0880402,0.0735678
0.5,0.0976884,0.0771859
0.6,0.0952764,0.0735678
0.7,0.0952764,0.0735678
0.8,0.0940703,0.0723618
0.9,0.0940703,0.0735678
1,0.0940703,0.0723618
1.1,0.0940703,0.0735678
1.2,0.0964824,0.0735678
1.3,0.0952764,0.0723618
1.4,0.0964824,0.0735678
1.5,0.0940703,0.0723618
1.6,0.0952764,0.0735678
1.7,0.0952764,0.0747739
1.8,0.0940703,0.0735678
1.9,0.0952764,0.0747739
2,0.0952764,0.0735678
2.1,0.0976884,0.0759799
2.2,0.0952764,0.0747739
2.3,0.0964824,0.0747739
2.4,0.0952764,0.0735678
2.5,0.0976884,0.0759799
2.6,0.0976884,0.0759799
2.7,0.0952764,0.0735678
2.8,0.0952764,0.0723618
2.9,0.0964824,0.0747739
3,0.0988945,0.0759799
3.1,0.0952764,0.0723618
3.2,0.0952764,0.0735678
3.3,0.0964824,0.0747739
3.4,0.0952764,0.0747739
3.5,0.0940703,0.0747739
3.6,0.0940703,0.0735678
3.7,0.0964824,0.0747739
3.8,0.0964824,0.0747739
3.9,0.0952764,0.0747739
4,0.0940703,0.0723618
4.1,0.0952764,0.0735678
4.2,0.0952764,0.0747739
4.3,0.0940703,0.0723618
4.4,0.0952764,0.0747739
4.5,0.0940703,0.0735678
4.6,0.0964824,0.0747739
4.7,0.0952764,0.0735678
4.8,0.0952764,0.0735678
4.9,0.0964824,0.0747739
