time,input,output
-5,0.0976884,0.00241206
-4.9,0.0988945,0.00241206
-4.8,0.0988945,0.00361809
-4.7,0.0976884,0.00241206
-4.6,0.0988945,0.00361809
-4.5,0.0976884,0.00241206
-4.4,0.0952764,0.00241206
-4.3,0.0964824,0.00361809
-4.2,0.0976884,0.00241206
-4.1,0.0964824,0.00361809
-4,0.0976884,0.00241206
-3.9,0.0988945,0.00361809
-3.8,0.0976884,0.00241206
-3.7,0.0976884,0.00361809
-3.6,0.0976884,0.00241206
-3.5,0.0964824,0.00241206
-3.4,0.0964824,0.00120603
-3.3,0.0976884,0.00241206
-3.2,0.0952764,0.00241206
-3.1,0.1001,0.00241206
-3,0.0976884,0.00241206
-2.9,0.0988945,0.00241206
-2.8,0.0988945,0.00241206
-2.7,0.1001,0.00361809
-2.6,0.0964824,0.00241206
-2.5,0.0976884,0.00241206
-2.4,0.0988945,0.00241206
-2.3,0.0952764,0.00361809
-2.2,0.0952764,0.00120603
-2.1,0.0988945,0.00241206
-2,0.0964824,0.00241206
-1.9,0.0976884,0.00241206
-1.8,0.0976884,0.00241206
-1.7,0.1001,0.00361809
-1.6,0.0976884,0.00241206
-1.5,0.0976884,0.00361809
-1.4,0.0976884,0.00241206
-1.3,0.0976884,0.00361809
-1.2,0.0988945,0.00241206
-1.1,0.0976884,0.00241206
-1,0.0952764,0.00241206
-0.9,0.1001,0.00361809
-0.8,0.0976884,0.00241206
-0.7,0.0988945,0.00241206
-0.6,0.0988945,0.00361809
-0.5,0.0988945,0.00361809
-0.4,0.0964824,0.00241206
-0.3,0.0988945,0.00361809
-0.2,0.0988945,0.00361809
-0.1,0.0976884,0.00241206
0,0.0868342,0.00241206
0.1,0.0976884,0.00241206
0.2,0.0952764,0.00241206
0.3,0.0988945,0.00361809
0.4,0.0964824,0.00241206
0.5,0.0988945,0.00241206
0.6,0.0988945,0.00241206
0.7,0.0976884,0.00241206
0.8,0.0940703,0.00361809
0.9,0.0976884,0.00361809
1,0.0976884,0.00361809
1.1,0.0988945,0.00361809
1.2,0.0988945,0.00241206
1.3,0.1001,0.00241206
1.4,0.0988945,0.00241206
1.5,0.0988945,0.00241206
1.6,0.0976884,0.00241206
1.7,0.0976884,0.00241206
1.8,0.0964824,0.00241206
1.9,0.1001,0.00361809
2,0.0976884,0.00361809
2.1,0.0988945,0.00241206
2.2,0.0976884,0.00241206
2.3,0.0976884,0.00241206
2.4,0.0964824,0.00241206
2.5,0.0976884,0.00241206
2.6,0.0964824,0.00241206
2.7,0.0976884,0.00361809
2.8,0.0976884,0.00361809
2.9,0.0976884,0.00361809
3,0.1001,0.00361809
3.1,0.0988945,0.00361809
3.2,0.0976884,0.00361809
3.3,0.0964824,0.00361809
3.4,0.0880402,0.00241206
3.5,0.0976884,0.00241206
3.6,0.0964824,0.00361809
3.7,0.0976884,0.00361809
3.8,0.0964824,0.00361809
3.9,0.0952764,0.00241206
4,0.0940703,0.00241206
4.1,0.0976884,0.00361809
4.2,0.0880402,0.00241206
4.3,0.0976884,0.00241206
4.4,0.0976884,0.00241206
4.5,0.0964824,0.00361809
4.6,0.0976884,0.00361809
4.7,0.1001,0.00361809
4.8,0.0976884,0.00361809
4.9,0.0928643,0.00241206
