time,input,output
-5,1.3797,1.14975
-4.9,1.3797,1.14975
-4.8,1.3797,1.14975
-4.7,1.3797,1.14975
-4.6,1.3797,1.14975
-4.5,1.3797,1.14975
-4.4,1.3797,1.14975
-4.3,1.3797,1.14975
-4.2,1.3797,1.14975
-4.1,1.3797,1.14975
-4,1.3797,1.14975
-3.9,1.3797,1.14975
-3.8,1.3797,1.14975
-3.7,1.3797,1.14975
-3.6,1.3797,1.14975
-3.5,1.3797,1.14975
-3.4,1.3797,1.14975
-3.3,1.3797,1.14975
-3.2,1.3797,1.14975
-3.1,1.3797,1.14975
-3,1.3797,1.14975
-2.9,1.3797,1.14975
-2.8,1.3797,1.14975
-2.7,1.3797,1.14975
-2.6,1.3797,1.14975
-2.5,1.3797,1.14975
-2.4,1.3797,1.14975
-2.3,1.3797,1.14975
-2.2,1.3797,1.14975
-2.1,1.3797,1.14975
-2,1.3797,1.14975
-1.9,1.3797,1.14975
-1.8,1.3797,1.14975
-1.7,1.3797,1.14975
-1.6,1.3797,1.14975
-1.5,1.3797,1.14975
-1.4,1.3797,1.14975
-1.3,1.3797,1.14975
-1.2,1.3797,1.14975
-1.1,1.3797,1.14975
-1,1.3797,1.14975
-0.9,1.3797,1.14975
-0.8,1.3797,1.14975
-0.7,1.3797,1.14975
-0.6,1.3797,1.14975
-0.5,1.3797,1.14975
-0.4,1.3797,1.14975
-0.3,1.3797,1.14975
-0.2,1.3797,1.14975
-0.1,1.3797,1.14975
0,1.3797,1.14975
0.1,1.3797,1.14975
0.2,1.3797,1.14975
0.3,1.3797,1.14975
0.4,1.3797,1.14975
0.5,1.3797,1.14975
0.6,1.3797,1.14975
0.7,1.3797,1.14975
0.8,1.3797,1.14975
0.9,1.3797,1.14975
1,1.3797,1.14975
1.1,1.3797,1.14975
1.2,1.3797,1.14975
1.3,1.3797,1.14975
1.4,1.3797,1.14975
1.5,1.3797,1.14975
1.6,1.3797,1.14975
1.7,1.3797,1.14975
1.8,1.3797,1.14975
1.9,1.3797,1.14975
2,1.3797,1.14975
2.1,1.3797,1.14975
2.2,1.3797,1.14975
2.3,1.3797,1.14975
2.4,1.3797,1.14975
2.5,1.3797,1.14975
2.6,1.3797,1.14975
2.7,1.3797,1.14975
2.8,1.3797,1.14975
2.9,1.3797,1.14975
3,1.3797,1.14975
3.1,1.3797,1.14975
3.2,1.3797,1.14975
3.3,1.3797,1.14975
3.4,1.3797,1.14975
3.5,1.3797,1.14975
3.6,1.3797,1.14975
3.7,1.3797,1.14975
3.8,1.3797,1.14975
3.9,1.3797,1.14975
4,1.3797,1.14975
4.1,1.3797,1.14975
4.2,1.3797,1.14975
4.3,1.3797,1.14975
4.4,1.3797,1.14975
4.5,1.3797,1.14975
4.6,1.3797,1.14975
4.7,1.3797,1.14975
4.8,1.3797,1.14975
4.9,1.3797,1.14975
