time,input,output
-5,0.0940703,0.039799
-4.9,0.0976884,0.041005
-4.8,0.0952764,0.039799
-4.7,0.0976884,0.041005
-4.6,0.0964824,0.041005
-4.5,0.0976884,0.041005
-4.4,0.0952764,0.041005
-4.3,0.0952764,0.041005
-4.2,0.0976884,0.041005
-4.1,0.0964824,0.039799
-4,0.0928643,0.038593
-3.9,0.0952764,0.038593
-3.8,0.0988945,0.041005
-3.7,0.0952764,0.039799
-3.6,0.0964824,0.041005
-3.5,0.0940703,0.039799
-3.4,0.0964824,0.041005
-3.3,0.0964824,0.039799
-3.2,0.0964824,0.041005
-3.1,0.0976884,0.041005
-3,0.0976884,0.041005
-2.9,0.0964824,0.041005
-2.8,0.0964824,0.041005
-2.7,0.0988945,0.041005
-2.6,0.0952764,0.039799
-2.5,0.0964824,0.041005
-2.4,0.0952764,0.041005
-2.3,0.0964824,0.039799
-2.2,0.0952764,0.039799
-2.1,0.0976884,0.041005
-2,0.0976884,0.041005
-1.9,0.0964824,0.041005
-1.8,0.0952764,0.039799
-1.7,0.0976884,0.041005
-1.6,0.0964824,0.041005
-1.5,0.0964824,0.039799
-1.4,0.0952764,0.039799
-1.3,0.0964824,0.041005
-1.2,0.0928643,0.039799
-1.1,0.0952764,0.039799
-1,0.0964824,0.041005
-0.9,0.0964824,0.039799
-0.8,0.0976884,0.041005
-0.7,0.0952764,0.039799
-0.6,0.0976884,0.041005
-0.5,0.0964824,0.041005
-0.4,0.0964824,0.039799
-0.3,0.0940703,0.039799
-0.2,0.0964824,0.039799
-0.1,0.0964824,0.039799
0,0.0856281,0.039799
0.1,0.0964824,0.041005
0.2,0.0976884,0.039799
0.3,0.0964824,0.039799
0.4,0.0952764,0.039799
0.5,0.0952764,0.041005
0.6,0.0952764,0.039799
0.7,0.0964824,0.039799
0.8,0.0976884,0.039799
0.9,0.0976884,0.041005
1,0.0940703,0.039799
1.1,0.0952764,0.039799
1.2,0.0964824,0.041005
1.3,0.0964824,0.039799
1.4,0.0952764,0.039799
1.5,0.0976884,0.041005
1.6,0.0964824,0.039799
1.7,0.0964824,0.039799
1.8,0.0964824,0.041005
1.9,0.0952764,0.039799
2,0.0976884,0.042211
2.1,0.0952764,0.041005
2.2,0.0952764,0.041005
2.3,0.0976884,0.041005
2.4,0.0988945,0.041005
2.5,0.0952764,0.039799
2.6,0.0964824,0.041005
2.7,0.0964824,0.041005
2.8,0.0952764,0.041005
2.9,0.0928643,0.039799
3,0.0940703,0.041005
3.1,0.0976884,0.041005
3.2,0.0952764,0.041005
3.3,0.0964824,0.039799
3.4,0.0952764,0.039799
3.5,0.0964824,0.039799
3.6,0.0952764,0.041005
3.7,0.0976884,0.042211
3.8,0.0976884,0.041005
3.9,0.0988945,0.042211
4,0.0976884,0.041005
4.1,0.0880402,0.039799
4.2,0.0952764,0.039799
4.3,0.0952764,0.041005
4.4,0.0952764,0.041005
4.5,0.0964824,0.041005
4.6,0.0964824,0.041005
4.7,0.0952764,0.039799
4.8,0.0952764,0.041005
4.9,0.0976884,0.041005
