time,input,output
-5,1.0798,0.806432
-4.9,1.0798,0.806432
-4.8,1.0798,0.806432
-4.7,1.0798,0.806432
-4.6,1.0798,0.806432
-4.5,1.0798,0.806432
-4.4,1.0798,0.806432
-4.3,1.0798,0.806432
-4.2,1.0798,0.806432
-4.1,1.0798,0.806432
-4,1.0798,0.806432
-3.9,1.0798,0.806432
-3.8,1.0798,0.806432
-3.7,1.0798,0.806432
-3.6,1.0798,0.806432
-3.5,1.0798,0.806432
-3.4,1.0798,0.806432
-3.3,1.0798,0.806432
-3.2,1.0798,0.806432
-3.1,1.0798,0.806432
-3,1.0798,0.806432
-2.9,1.0798,0.806432
-2.8,1.0798,0.806432
-2.7,1.0798,0.806432
-2.6,1.0798,0.806432
-2.5,1.0798,0.806432
-2.4,1.0798,0.806432
-2.3,1.0798,0.806432
-2.2,1.0798,0.806432
-2.1,1.0798,0.806432
-2,1.0798,0.806432
-1.9,1.0798,0.806432
-1.8,1.0798,0.806432
-1.7,1.0798,0.806432
-1.6,1.0798,0.806432
-1.5,1.0798,0.806432
-1.4,1.0798,0.806432
-1.3,1.0798,0.806432
-1.2,1.0798,0.806432
-1.1,1.0798,0.806432
-1,1.0798,0.806432
-0.9,1.0798,0.806432
-0.8,1.0798,0.806432
-0.7,1.0798,0.806432
-0.6,1.0798,0.806432
-0.5,1.0798,0.806432
-0.4,1.0798,0.806432
-0.3,1.0798,0.806432
-0.2,1.0798,0.806432
-0.1,1.0798,0.806432
0,1.0798,0.806432
0.1,1.0798,0.806432
0.2,1.0798,0.806432
0.3,1.0798,0.806432
0.4,1.0798,0.806432
0.5,1.0798,0.806432
0.6,1.0798,0.806432
0.7,1.0798,0.806432
0.8,1.0798,0.806432
0.9,1.0798,0.806432
1,1.0798,0.806432
1.1,1.0798,0.806432
1.2,1.0798,0.806432
1.3,1.0798,0.806432
1.4,1.0798,0.806432
1.5,1.0798,0.806432
1.6,1.0798,0.806432
1.7,1.0798,0.806432
1.8,1.0798,0.806432
1.9,1.0798,0.806432
2,1.0798,0.806432
2.1,1.0798,0.806432
2.2,1.0798,0.806432
2.3,1.0798,0.806432
2.4,1.0798,0.806432
2.5,1.0798,0.806432
2.6,1.0798,0.806432
2.7,1.0798,0.806432
2.8,1.0798,0.806432
2.9,1.0798,0.806432
3,1.0798,0.806432
3.1,1.0798,0.806432
3.2,1.0798,0.806432
3.3,1.0798,0.806432
3.4,1.0798,0.806432
3.5,1.0798,0.806432
3.6,1.0798,0.806432
3.7,1.0798,0.806432
3.8,1.0798,0.806432
3.9,1.0798,0.806432
4,1.0798,0.806432
4.1,1.0798,0.806432
4.2,1.0798,0.806432
4.3,1.0798,0.806432
4.4,1.0798,0.806432
4.5,1.0798,0.806432
4.6,1.0798,0.806432
4.7,1.0798,0.806432
4.8,1.0798,0.806432
4.9,1.0798,0.806432
