time,input,output
-5,0.0964824,0.0277387
-4.9,0.0976884,0.0277387
-4.8,0.0976884,0.0277387
-4.7,0.0964824,0.0265327
-4.6,0.0964824,0.0265327
-4.5,0.0964824,0.0277387
-4.4,0.1001,0.0277387
-4.3,0.0940703,0.0265327
-4.2,0.0976884,0.0289447
-4.1,0.0964824,0.0277387
-4,0.0976884,0.0277387
-3.9,0.0988945,0.0277387
-3.8,0.0976884,0.0277387
-3.7,0.0976884,0.0289447
-3.6,0.0976884,0.0277387
-3.5,0.0976884,0.0277387
-3.4,0.0952764,0.0265327
-3.3,0.0964824,0.0277387
-3.2,0.0952764,0.0265327
-3.1,0.0940703,0.0265327
-3,0.0952764,0.0265327
-2.9,0.0964824,0.0289447
-2.8,0.0952764,0.0277387
-2.7,0.0964824,0.0277387
-2.6,0.0964824,0.0277387
-2.5,0.0940703,0.0253266
-2.4,0.0976884,0.0277387
-2.3,0.0964824,0.0277387
-2.2,0.0988945,0.0277387
-2.1,0.0964824,0.0277387
-2,0.0940703,0.0265327
-1.9,0.0964824,0.0277387
-1.8,0.0952764,0.0277387
-1.7,0.0976884,0.0277387
-1.6,0.0952764,0.0277387
-1.5,0.0964824,0.0277387
-1.4,0.0964824,0.0265327
-1.3,0.0976884,0.0277387
-1.2,0.0988945,0.0277387
-1.1,0.0976884,0.0277387
-1,0.0976884,0.0277387
-0.9,0.0964824,0.0277387
-0.8,0.0976884,0.0277387
-0.7,0.0964824,0.0277387
-0.6,0.0916583,0.0301508
-0.5,0.0952764,0.0277387
-0.4,0.0964824,0.0277387
-0.3,0.0952764,0.0265327
-0.2,0.0976884,0.0277387
-0.1,0.0976884,0.0277387
0,0.0856281,0.0277387
0.1,0.0976884,0.0277387
0.2,0.1001,0.0277387
0.3,0.0988945,0.0277387
0.4,0.0976884,0.0277387
0.5,0.0964824,0.0277387
0.6,0.0964824,0.0265327
0.7,0.0976884,0.0277387
0.8,0.0952764,0.0277387
0.9,0.0976884,0.0277387
1,0.0952764,0.0277387
1.1,0.0940703,0.0265327
1.2,0.0952764,0.0277387
1.3,0.0952764,0.0265327
1.4,0.0988945,0.0289447
1.5,0.0964824,0.0265327
1.6,0.0964824,0.0277387
1.7,0.0976884,0.0277387
1.8,0.0952764,0.0277387
1.9,0.0964824,0.0277387
2,0.0964824,0.0277387
2.1,0.0976884,0.0277387
2.2,0.0964824,0.0277387
2.3,0.0964824,0.0277387
2.4,0.0964824,0.0289447
2.5,0.0976884,0.0277387
2.6,0.0976884,0.0289447
2.7,0.0964824,0.0277387
2.8,0.0964824,0.0277387
2.9,0.0976884,0.0277387
3,0.1001,0.0289447
3.1,0.0964824,0.0265327
3.2,0.0976884,0.0277387
3.3,0.0952764,0.0265327
3.4,0.0976884,0.0277387
3.5,0.0976884,0.0265327
3.6,0.0976884,0.0265327
3.7,0.0976884,0.0277387
3.8,0.0952764,0.0265327
3.9,0.0964824,0.0277387
4,0.0976884,0.0289447
4.1,0.0976884,0.0289447
4.2,0.0964824,0.0265327
4.3,0.0976884,0.0277387
4.4,0.0964824,0.0277387
4.5,0.0976884,0.0277387
4.6,0.0964824,0.0289447
4.7,0.0952764,0.0277387
4.8,0.0952764,0.0277387
4.9,0.0952764,0.0277387
