time,input,output
-5,0.0952764,0.0241206
-4.9,0.0964824,0.0241206
-4.8,0.0964824,0.0241206
-4.7,0.0952764,0.0229146
-4.6,0.0976884,0.0229146
-4.5,0.0988945,0.0253266
-4.4,0.0976884,0.0241206
-4.3,0.0976884,0.0253266
-4.2,0.0964824,0.0253266
-4.1,0.0976884,0.0241206
-4,0.0952764,0.0241206
-3.9,0.0976884,0.0241206
-3.8,0.0964824,0.0229146
-3.7,0.0964824,0.0241206
-3.6,0.0988945,0.0253266
-3.5,0.0952764,0.0229146
-3.4,0.0964824,0.0241206
-3.3,0.0964824,0.0241206
-3.2,0.0952764,0.0241206
-3.1,0.0940703,0.0229146
-3,0.0964824,0.0241206
-2.9,0.0952764,0.0253266
-2.8,0.0964824,0.0241206
-2.7,0.0952764,0.0241206
-2.6,0.0952764,0.0229146
-2.5,0.0964824,0.0241206
-2.4,0.0952764,0.0229146
-2.3,0.0964824,0.0229146
-2.2,0.0964824,0.0241206
-2.1,0.0964824,0.0241206
-2,0.0964824,0.0241206
-1.9,0.0952764,0.0229146
-1.8,0.0940703,0.0241206
-1.7,0.0964824,0.0241206
-1.6,0.0880402,0.0241206
-1.5,0.0964824,0.0241206
-1.4,0.0976884,0.0241206
-1.3,0.0964824,0.0241206
-1.2,0.0976884,0.0241206
-1.1,0.0952764,0.0229146
-1,0.0976884,0.0241206
-0.9,0.0964824,0.0241206
-0.8,0.0976884,0.0241206
-0.7,0.1001,0.0253266
-0.6,0.0952764,0.0241206
-0.5,0.0976884,0.0241206
-0.4,0.0964824,0.0241206
-0.3,0.0964824,0.0229146
-0.2,0.0976884,0.0241206
-0.1,0.0964824,0.0229146
0,0.0880402,0.0241206
0.1,0.0952764,0.0229146
0.2,0.0964824,0.0241206
0.3,0.0964824,0.0241206
0.4,0.0952764,0.0229146
0.5,0.0952764,0.0229146
0.6,0.0976884,0.0241206
0.7,0.0940703,0.0229146
0.8,0.0964824,0.0241206
0.9,0.0964824,0.0241206
1,0.0952764,0.0229146
1.1,0.0964824,0.0241206
1.2,0.0952764,0.0229146
1.3,0.0952764,0.0241206
1.4,0.0940703,0.0241206
1.5,0.0952764,0.0241206
1.6,0.0964824,0.0241206
1.7,0.0940703,0.0229146
1.8,0.0964824,0.0241206
1.9,0.0964824,0.0241206
2,0.0964824,0.0253266
2.1,0.0976884,0.0241206
2.2,0.0940703,0.0241206
2.3,0.0940703,0.0229146
2.4,0.0976884,0.0241206
2.5,0.0976884,0.0253266
2.6,0.0976884,0.0241206
2.7,0.0976884,0.0253266
2.8,0.0964824,0.0229146
2.9,0.0976884,0.0241206
3,0.0952764,0.0241206
3.1,0.0964824,0.0241206
3.2,0.0952764,0.0241206
3.3,0.0964824,0.0241206
3.4,0.0976884,0.0241206
3.5,0.0916583,0.0229146
3.6,0.0976884,0.0241206
3.7,0.0976884,0.0241206
3.8,0.0964824,0.0241206
3.9,0.0964824,0.0241206
4,0.0964824,0.0241206
4.1,0.0952764,0.0241206
4.2,0.0964824,0.0241206
4.3,0.0952764,0.0241206
4.4,0.0952764,0.0241206
4.5,0.0952764,0.0229146
4.6,0.0928643,0.0229146
4.7,0.0976884,0.0241206
4.8,0.0952764,0.0229146
4.9,0.0976884,0.0241206
